Date,Issue number,Weekday,Sequence,Random Sequence
1893-01-02,3421,Monday,1,
1893-01-03,,Tuesday,2,2195
1893-01-04,,Wednesday,3,694
1893-01-05,,Thursday,4,3327
1893-01-06,,Friday,5,2498
1893-01-07,,Saturday,6,1074
1893-01-09,,Monday,7,3137
1893-01-10,,Tuesday,8,115
1893-01-11,,Wednesday,9,621
1893-01-12,,Thursday,10,1564
1893-01-13,,Friday,11,1150
1893-01-14,,Saturday,12,625
1893-01-16,,Monday,13,2676
1893-01-17,,Tuesday,14,29
1893-01-18,,Wednesday,15,282
1893-01-19,,Thursday,16,3336
1893-01-20,,Friday,17,1395
1893-01-21,,Saturday,18,122
1893-01-23,,Monday,19,3541
1893-01-24,,Tuesday,20,1013
1893-01-25,,Wednesday,21,120
1893-01-26,,Thursday,22,2817
1893-01-27,,Friday,23,2574
1893-01-28,,Saturday,24,1956
1893-01-30,,Monday,25,1684
1893-01-31,,Tuesday,26,157
1893-02-01,,Wednesday,27,2497
1893-02-02,,Thursday,28,1100
1893-02-03,,Friday,29,159
1893-02-04,,Saturday,30,3315
1893-02-06,,Monday,31,3744
1893-02-07,,Tuesday,32,1694
1893-02-08,,Wednesday,33,2917
1893-02-09,,Thursday,34,2184
1893-02-10,,Friday,35,1755
1893-02-11,,Saturday,36,1372
1893-02-13,,Monday,37,806
1893-02-14,,Tuesday,38,2140
1893-02-15,,Wednesday,39,3101
1893-02-16,,Thursday,40,2300
1893-02-17,,Friday,41,685
1893-02-18,,Saturday,42,1815
1893-02-20,,Monday,43,3161
1893-02-21,,Tuesday,44,1878
1893-02-22,,Wednesday,45,3204
1893-02-23,,Thursday,46,1670
1893-02-24,,Friday,47,1975
1893-02-25,,Saturday,48,2235
1893-02-27,,Monday,49,2165
1893-02-28,,Tuesday,50,745
1893-03-01,,Wednesday,51,2532
1893-03-02,,Thursday,52,1493
1893-03-03,,Friday,53,3505
1893-03-04,,Saturday,54,3737
1893-03-06,,Monday,55,2054
1893-03-07,,Tuesday,56,2324
1893-03-08,,Wednesday,57,2755
1893-03-09,,Thursday,58,3448
1893-03-10,,Friday,59,1658
1893-03-11,,Saturday,60,2237
1893-03-13,,Monday,61,1336
1893-03-14,,Tuesday,62,1927
1893-03-15,,Wednesday,63,1884
1893-03-16,,Thursday,64,734
1893-03-17,,Friday,65,2469
1893-03-18,,Saturday,66,3158
1893-03-20,,Monday,67,1319
1893-03-21,,Tuesday,68,1231
1893-03-22,,Wednesday,69,2382
1893-03-23,,Thursday,70,532
1893-03-24,,Friday,71,2927
1893-03-25,,Saturday,72,2197
1893-03-27,,Monday,73,2041
1893-03-28,,Tuesday,74,1922
1893-03-29,,Wednesday,75,609
1893-03-30,,Thursday,76,237
1893-03-31,,Friday,77,2866
1893-04-01,,Saturday,78,2141
1893-04-03,,Monday,79,1112
1893-04-04,,Tuesday,80,3210
1893-04-05,,Wednesday,81,623
1893-04-06,,Thursday,82,2205
1893-04-07,,Friday,83,506
1893-04-08,,Saturday,84,1980
1893-04-10,,Monday,85,1672
1893-04-11,,Tuesday,86,1144
1893-04-12,,Wednesday,87,3071
1893-04-13,,Thursday,88,3499
1893-04-14,,Friday,89,1217
1893-04-15,,Saturday,90,2446
1893-04-17,,Monday,91,1330
1893-04-18,,Tuesday,92,2438
1893-04-19,,Wednesday,93,3040
1893-04-20,,Thursday,94,3601
1893-04-21,,Friday,95,949
1893-04-22,,Saturday,96,3503
1893-04-24,,Monday,97,678
1893-04-25,,Tuesday,98,3175
1893-04-26,,Wednesday,99,1857
1893-04-27,,Thursday,100,2014
1893-04-28,,Friday,101,2363
1893-04-29,,Saturday,102,1602
1893-05-01,,Monday,103,73
1893-05-02,,Tuesday,104,3593
1893-05-03,,Wednesday,105,2799
1893-05-04,,Thursday,106,3626
1893-05-05,,Friday,107,270
1893-05-06,,Saturday,108,200
1893-05-08,,Monday,109,2281
1893-05-09,,Tuesday,110,770
1893-05-10,,Wednesday,111,424
1893-05-11,,Thursday,112,279
