Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1905-03-03	LE PIREE & ODESSA	Tzar	Russian	Feb 17, 1905	Various	234	packages	vegetables
1905-03-03	LE PIREE & ODESSA	Tzar	Russian	Feb 17, 1905	G. Frauger & Co.	200	bales	cotton
1905-03-03	LE PIREE & ODESSA	Tzar	Russian	Feb 17, 1905	R. & O. Lindemann	255	bales	cotton
1905-03-03	LE PIREE & ODESSA	Tzar	Russian	Feb 17, 1905	R. & O. Lindemann	455	bales	cotton
1905-03-03	Hull	Ros		Jan 19, 1905	Various	3,111	tons	cotton seed
1905-03-03	Candia	Athènes	Greek	Feb 20, 1905	Various	121	sacs	rice
1905-03-03	Candia	Athènes	Greek	Feb 20, 1905	Various	20	sacs	beans
1905-03-03	Candia	Athènes	Greek	Feb 20, 1905	Various	93	barrels	vides
1905-03-03	Candia	Athènes	Greek	Feb 20, 1905	Various	6	packages	skins
1905-03-03	Candia	Athènes	Greek	Feb 20, 1905	Various	14	packages	divers
1905-03-03	Trebizonde	Alexandria	Ottoman	Feb 21, 1905	Various	535	sacs	rice
1905-03-03	Trebizonde	Alexandria	Ottoman	Feb 21, 1905	Various	10	cases	sugar
1905-03-03	Trebizonde	Alexandria	Ottoman	Feb 21, 1905	Various	110	barrels	vides
1905-03-03	Trebizonde	Alexandria	Ottoman	Feb 21, 1905	Various	168	packages	skins
1905-03-03	Trebizonde	Alexandria	Ottoman	Feb 21, 1905	Various	74	packages	divers
1905-03-03	Port Said & Odessa	Princesse Eugenie	Russian	Feb 21, 1905	Various	22		empty barrels
1905-03-03	Port Said & Odessa	Princesse Eugenie	Russian	Feb 21, 1905	Various	4	packages	empty sacks
1905-03-03	England	Orkla		Feb 21, 1905	N. E. Tamvaco	2,253	tons	cotton seed
1905-03-03	England	Cabral		Feb 21, 1905	Anglo-Egyptian Bank Ltd.	654	tons	cotton seed
1905-03-03	England	Cabral		Feb 21, 1905	Carver Bros. & Co. Ltd.	1450	tons	cotton seed
